Sex,River,Population,ln brain,,Population,ln brain
Male,Guanapo,R,1.774952351,,,
Male,Guanapo,R,1.871802177,,,
Male,Guanapo,R,1.667706821,,,
Male,Guanapo,R,1.252762968,,,
Male,Guanapo,R,,,,
Male,Guanapo,R,1.30833282,,,
Male,Guanapo,R,1.360976553,,,
Male,Guanapo,R,1.193922468,,,
Male,Guanapo,R,1.280933845,,,
Male,Guanapo,R,1.098612289,,,
Male,Guanapo,R,1.458615023,,,
Male,Guanapo,R,1.386294361,,,
Male,Guanapo,R,1.16315081,,,
Male,Guanapo,R,1.30833282,,,
Male,Guanapo,R,1.740466175,,,
Male,Guanapo,R,1.30833282,,,
Male,Guanapo,HP,1.30833282,,,
Male,Guanapo,HP,,,,
Male,Guanapo,HP,1.098612289,,,
Male,Guanapo,HP,,,,
Male,Guanapo,HP,1.029619417,,,
Male,Guanapo,HP,0.641853886,,,
Male,Guanapo,HP,0.693147181,,,
Male,Guanapo,HP,1.648658626,,,
Male,Guanapo,HP,0.470003629,,,
Male,Guanapo,HP,0.641853886,,,
Male,Guanapo,HP,1.16315081,,,
Male,Guanapo,HP,1.029619417,,,
Male,Guanapo,HP,1.193922468,,,
Male,Guanapo,HP,0.832909123,,,
Male,Guanapo,HP,,,,
Male,Guanapo,HP,0.832909123,,,
Male,Guanapo,HP,1.029619417,,,
Male,Guanapo,HP,1.029619417,,,
Male,Guanapo,HP,0.832909123,,,
Male,Guanapo,HP,1.098612289,,,
Male,Guanapo,HP,,,,
