Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3",,,Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3"
M,0.124878308,1.261581928,4.738481478,1.372519942,1.635492715,,,F,0.116893427,1.032883931,4.200832977,0.972637086,1.262034318
M,0.105227646,1.265081662,4.301578617,1.202620517,1.421085823,,,F,0.120860211,1.040702832,4.229643999,1.081016796,1.374801786
M,0.098447042,1.447264977,4.144602657,1.236681665,1.23306255,,,F,0.121768131,0.80434825,3.782522061,0.912192843,1.250979053
M,0.098017691,1.579274438,4.674913707,1.370268468,1.533582067,,,F,0.088755228,0.980707837,3.196884684,0.915381559,1.041516504
M,0.168161601,1.272076419,4.301560291,1.060840441,1.449059611,,,F,0.09873188,1.012103343,3.867128816,0.75866321,1.031620488
M,0.079503238,0.935543254,3.75672592,0.830883713,1.237661842,,,F,0.10694505,1.197744766,4.082436821,1.025227347,1.387091696
M,0.092022485,1.150739209,4.126214915,0.953626261,0.924727798,,,F,0.146335386,1.572967167,4.78338112,1.229022462,1.371587937
M,0.097546452,1.13443382,4.1509204,1.022698364,1.170698794,,,F,0.111696709,1.074445631,3.767167527,1.061521119,1.237228302
M,0.088514373,0.967610537,3.322359895,1.032438349,1.149458486,,,F,0.086293267,0.849386123,3.303161622,0.831942429,1.089692828
M,0.083126542,1.065458058,3.516637555,1.048126415,1.304109144,,,F,0.109613309,1.350957098,4.807814857,1.10196546,1.249800956
M,0.079827869,1.259832585,3.891386624,0.946850893,1.383639086,,,F,0.157674441,0.850550868,3.681993714,0.993668478,1.144643996
M,0.070756521,0.849452096,3.090321861,0.747512127,1.079032357,,,F,0.129050343,1.132104329,4.647692592,1.103493844,1.636612693
M,0.098074239,1.172901051,3.696883816,1.005001773,1.249741789,,,F,0.148605186,1.192208232,3.766533972,1.083196014,1.161716457
M,0.054395106,0.729578345,3.006327455,0.640965012,0.805812232,,,F,0.078383784,0.930351248,3.732183798,0.849976742,1.398571076
M,0.09458393,1.0261227,3.526747201,1.013879914,1.208727773,,,F,0.117828574,1.040702832,4.117096442,0.984248412,1.30099635
M,0.100316289,1.169789827,4.356061688,1.185637067,1.292809359,,,F,0.093141939,0.807046878,3.630365827,0.927424331,0.891691856
M,0.120943463,1.26166361,4.910469539,1.17510959,1.277849095,,,F,0.134695785,1.286922015,4.67696857,1.369694603,1.301527802
M,0.106068022,0.883750957,3.405329357,0.970799254,1.100143859,,,F,0.107960832,1.450433535,5.024738688,1.048244749,1.548981107
M,0.116017969,0.984889297,3.802407819,0.967335648,1.458013151,,,F,0.058257694,1.113872096,3.943990498,0.81253367,1.262692481
M,0.118431498,0.893998833,3.670951016,0.804436215,1.26650428,,,F,0.07531916,1.010328343,3.92234126,1.128360597,1.294721542
M,0.083866387,1.064149062,3.286420075,0.964091954,1.012227436,,,F,0.081631144,0.944237088,3.806351303,0.891960986,1.307103606
M,0.148785828,1.333040595,3.802470651,1.06129283,1.397449527,,,F,0.150419456,1.133109638,4.668116086,1.151048132,1.388521121
M,0.092138724,0.965076319,3.468059108,1.024719456,1.331331568,,,F,0.112154858,0.94779756,3.856619142,0.988018323,1.055604453
M,0.10668613,1.287365765,3.665880485,1.285455938,1.460978814,,,F,0.110552645,0.71574696,3.704606374,1.04391354,1.192615592
M,0.097682588,0.881819925,3.435374502,0.921912931,1.289456233,,,F,0.105054858,0.96824671,3.802470651,1.003969236,1.194918379
M,0.063041293,0.808469758,3.420063426,0.898545764,1.230844586,,,F,0.11926114,0.819480517,3.671647402,0.928143756,1.225904431
M,0.063868579,0.819390196,3.329041015,0.795639755,1.094893211,,,F,0.121541937,1.103930526,4.549861302,1.16244583,1.218463569
M,0.059442075,0.898671428,3.481237042,1.003412127,1.055410198,,,F,0.102635832,0.708858494,3.194220614,0.804357675,1.286267516
M,0.105859106,1.131444594,3.947850992,1.011768764,1.19395967,,,F,0.107692487,0.887981636,3.614557857,0.896974968,1.233933819
M,0.10415008,1.138091419,3.451424375,1.033960974,1.130520966,,,F,0.107898785,1.026980355,4.309553026,1.241513434,1.520231346
M,0.140505113,1.099590939,4.248173113,1.06243637,1.451604302,,,F,0.121579636,1.03899014,3.669948062,0.988194252,1.266671308
M,0.135716803,1.466210613,4.749183314,1.589034319,1.523251464,,,F,0.098366408,0.645154326,3.021389035,0.856426432,1.057356415
M,0.073230525,1.142485722,3.99506913,1.039411637,1.119578799,,,F,0.110514946,0.802425596,3.047775272,0.654456582,1.220215531
M,0.118301907,1.335302541,3.863793492,1.102342974,1.108353888,,,F,0.101599106,0.976465902,3.311603082,0.846387996,1.370048556
M,0.082650067,0.926091249,3.326475381,0.969683988,1.213867419,,,F,0.082372559,0.851614559,3.462757671,0.832914752,1.204486623
M,0.07467016,0.808156384,2.961441164,0.817031907,1.028478895,,,F,0.076606951,0.819786037,3.220328819,0.953994875,1.26038184
M,0.091087337,1.162725432,3.463279699,1.022626108,1.580535264,,,F,0.08128871,1.005661508,3.187445769,0.879187794,1.080762327
M,0.080927427,1.137063333,3.141617786,0.664321183,1.372819441,,,F,0.105781352,1.162514946,3.748464578,0.965851245,1.286531934
M,0.093572337,0.918526294,3.325886333,0.803838789,1.230385913,,,F,0.097734947,1.08705389,3.715631794,1.058704158,1.374868283
M,0.123170067,1.238906174,4.194426746,1.05131042,1.633641793,,,F,0.08020486,0.978236451,3.587285167,0.906119097,1.069649467
M,0.07359495,0.898149924,3.006327455,0.835575681,1.048035309,,,F,0.195422771,0.970098679,3.473756386,1.066957122,1.205334853
M,0.119091494,1.019781919,3.389527146,0.943742811,1.406595751,,,F,0.106437159,1.04020646,3.502375772,1.054113244,1.511970004
M,0.125663706,0.836622355,3.562025715,0.938406292,1.178138086,,,F,0.087773743,0.687292508,3.186664036,0.894817741,1.230844586
M,0.108870846,0.553561192,2.380604665,0.625993752,1.203740495,,,F,0.090708252,0.86861267,3.241149725,0.662203749,1.276180909
M,0.101529991,0.990408028,3.763002822,0.991027445,1.168044149,,,F,0.066912782,0.857390901,3.21356785,1.004653056,1.198664205
M,0.115249326,0.979196731,3.053335891,0.67305481,1.105941145,,,F,0.10144831,0.999596663,3.893935503,1.186598395,1.118341011
M,0.078618356,0.732682239,2.740536935,0.673552229,0.989193279,,,F,0.064465481,0.744655634,3.32183839,0.955075583,0.995124606
M,0.116464076,1.043385752,3.444085876,1.047922212,1.267764583,,,F,0.09036896,0.990779783,3.334800078,0.900262645,1.078194599
M,0.070371675,0.840073657,3.059056731,0.853822051,1.096484951,,,F,0.074191852,0.925356116,3.428102762,0.862019514,0.859492626
M,0.08126541,0.987211981,3.056219873,0.948908636,1.118419551,,,F,0.13957049,0.848682406,3.285273917,0.922271072,1.200415119
M,0.121930447,0.966485062,3.494142181,1.028892538,1.228519807,,,F,0.109478221,0.855838954,3.714674131,0.785795575,1.066185861
,,,,,,,,F,0.102046783,1.01188605,3.780282105,0.838899486,1.383158946
,,,,,,,,F,0.096453178,1.052924413,3.642637412,0.986687859,1.123518356
,,,,,,,,F,0.137020564,0.98169325,3.692031102,1.054770884,1.286922015
,,,,,,,,F,0.123784248,0.831689531,3.412150802,0.765763209,1.268525895
,,,,,,,,F,0.115321583,0.905419569,3.880091027,0.986551199,1.160640986
,,,,,,,,F,0.133550413,1.109244006,3.646358628,0.915169502,1.310320597
,,,,,,,,F,0.138362024,1.107661167,4.371329828,1.094631411,1.630298092
,,,,,,,,F,0.120731406,0.916994505,3.649950778,1.164131819,1.20176391
,,,,,,,,F,0.121541937,0.762359817,3.503359614,0.947645716,1.016320931
,,,,,,,,F,0.153388261,0.925366588,3.514923817,1.154299681,1.245117888
,,,,,,,,F,0.120469868,1.0262536,3.54386731,0.834564088,1.290156808
,,,,,,,,F,0.086220225,0.736393507,3.268192554,0.77180135,1.090980881
,,,,,,,,F,0.12912993,0.888729335,3.722881542,1.000289384,1.377992597
,,,,,,,,F,0.08645663,0.705131518,2.954790413,0.752214567,1.098399228
,,,,,,,,F,0.1156237,0.870283997,3.649240516,0.997575048,1.381745229
,,,,,,,,F,0.085084801,0.96057337,3.084258588,0.835140047,1.020075135
,,,,,,,,F,0.099334804,1.002326183,3.443813867,1.090247843,1.136083679
,,,,,,,,F,0.11288999,1.063202919,3.50988156,1.046870826,1.306070022
,,,,,,,,F,0.1197994,1.138086706,3.901858076,0.93396408,1.374698113
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
F,0.144111662,1.16502822,4.93900096,1.315939335,1.512991022,,,,,,,,
M,0.154925024,1.154843176,4.364426178,1.093933978,1.558360332,,,,,,,,
F,0.144393882,1.113956395,4.320765894,1.023635606,1.581383494,,,,,,,,
M,0.12203124,1.125758311,4.154442125,1.036882655,1.43309875,,,,,,,,
F,0.108573442,1.002136641,3.84825884,1.035805089,1.234985205,,,,,,,,
M,0.123410399,1.287339846,4.207447076,1.235206687,1.489859475,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
M,0.109779814,0.913260984,3.644365811,0.961390184,1.173144524,,,,,,,,
F,0.09975185,0.706033155,2.927241787,0.776818474,0.901084171,,,,,,,,
M,0.08984955,1.051704689,3.394333783,0.869294395,1.167834709,,,,,,,,
F,0.093729417,0.841481875,3.279315363,0.861330458,1.143363797,,,,,,,,
